Grandeza,Condicao,0,1,2,3,4,5,6,7,8,9
Zme,disart,0.1480319604349075,0.134606850477225,0.11566247888743565,0.14813250949807685,0.13142940302824804,0.13293202389082565,0.14297514153492175,0.14274304721078646,0.14602402346002116,0.1279402811440256
Zme,malleusfix,0.19403702203665807,0.16688751730301987,0.22508861993515072,0.19720111726282172,0.19712707043932648,0.2002515065714661,0.19102724177562247,0.20741024739859484,0.20999124522333432,0.1737453935792829
Zme,normal,0.0707994909468631,0.09070502110525784,0.09423210651546456,0.08646387991277421,0.07683371053464362,0.08549801492141834,0.09177148688157126,0.07347433943586162,0.08775505768654553,0.07733795309937196
Zme,stapesfix,0.11871619265200442,0.1451902102074559,0.09798467606123994,0.09839192568694984,0.12428547272946493,0.11284946802491724,0.1182307820461602,0.1254436070863918,0.1125114403509912,0.12991109281017998
Zme,All,0.13289616651760827,0.13434739977323965,0.1332419703498227,0.13254735809015564,0.13241891418292076,0.13288275335215682,0.13600116305956894,0.1372678102829087,0.13907044168022306,0.12723368015821512
ER,disart,0.03731970014362996,0.053086871475671565,0.031277544241760116,0.03729092495996512,0.04157945070243043,0.04138575617402542,0.04063218982497708,0.04318374104534073,0.04577620346604718,0.03883124073466365
ER,malleusfix,0.16163428763235493,0.19120940947108664,0.1958047003706544,0.16310706304679315,0.1585749219571686,0.13870898975749804,0.17244796771775475,0.19725990604030014,0.16596075561541535,0.18731915411600286
ER,normal,0.030701131612324375,0.03622204937244375,0.0383433909523301,0.03169833419551648,0.02898229957385845,0.032089489132331936,0.03056144243193407,0.02899722859228622,0.029875804989929183,0.03337214613152024
ER,stapesfix,0.18760971138164848,0.16432831019815433,0.15823891691710948,0.1956452695983156,0.19093780040906408,0.21230762303521206,0.1839018759768322,0.14479475434565472,0.1957046746070841,0.16436568013784972
ER,All,0.10431620769248943,0.11121166012933906,0.10591613812046352,0.1069353979501476,0.1050186181606304,0.10612296452476687,0.10688586898787453,0.10355890750589547,0.10932935966961896,0.10597205528000912
Hfp,malleusfix,0.4061954882245444,0.3115676678888751,0.34939777332775984,0.31927667308192303,0.3904877330636768,0.32701620109958224,0.3328089278163305,0.31846983599628714,0.3958589194454257,0.37896706796289903
Hfp,normal,0.14658059771087734,0.17356586179841574,0.16665553163300667,0.17517697997834444,0.15521738561932155,0.1643560179752835,0.18032783915012274,0.173380580864239,0.1864164129755694,0.17439157675599534
Hfp,stapesfix,0.3187845038533797,0.32611247355934986,0.3343206567592829,0.2970203850633708,0.26888946227916616,0.28502550427739193,0.2957520923020689,0.3000869618666845,0.2376958442011015,0.2945706254036014
Hfp,All,0.2905201965962672,0.2704153344155469,0.2834579872400165,0.2638246793745461,0.2715315269873881,0.2587992411174192,0.26962961975617405,0.26397912624240355,0.2733237255406989,0.28264309004083193
Humbo,disart,0.17113822761931402,0.14036804085085136,0.15946184638345645,0.14022655842055673,0.13342922907710544,0.18210565789614105,0.14615864317102525,0.14995149126118146,0.16139335225386653,0.12892461624163554
Humbo,malleusfix,0.17524212407801396,0.1389547743098083,0.13689043372858464,0.15387600601475798,0.13245507522555805,0.14621702684325974,0.14119388584680956,0.17081049871912246,0.12692252412180066,0.13383690940808093
Humbo,normal,0.1570061405744959,0.14199131955273486,0.1496219793132994,0.17915074878422174,0.14272573382106565,0.11782202377781385,0.14465652762478926,0.14617883557549358,0.15879942145140227,0.15664956674635858
Humbo,stapesfix,0.15346921892872853,0.14819119590957205,0.1953415086431224,0.15483599483771096,0.13625432208990038,0.14941894622270424,0.16908316169060844,0.15180521389354384,0.1626460379300293,0.1568277488742771
